Episode 182 Start: (0.0, -0.0)
Episode 182 Reward: -1.553101299880507, Distance Reached: 0.62
Episode 183 Start: (0.0, -0.0)
Episode 183 Reward: -1.6608861468479919, Distance Reached: 0.5
Episode 184 Start: (0.0, -0.0)
Episode 184 Reward: -1.7417444466702152, Distance Reached: 0.39
Episode 185 Start: (0.0, -0.0)
Episode 185 Reward: -2.345695228095798, Distance Reached: 0.21
Episode 186 Start: (0.0, -0.0)
Episode 186 Reward: 0.6305091230808788, Distance Reached: 0.94
Episode 187 Start: (0.0, -0.0)
Episode 187 Reward: -2.118513189514326, Distance Reached: 0.43
Episode 188 Start: (0.0, -0.0)
Episode 188 Reward: -1.4112094879520982, Distance Reached: 0.62
Episode 189 Start: (0.0, -0.0)
Episode 189 Reward: -1.754303028220399, Distance Reached: 0.33
Episode 190 Start: (0.0, -0.0)
Episode 190 Reward: -2.4784411178609407, Distance Reached: 0.61
Episode 191 Start: (0.0, -0.0)
Episode 191 Reward: -1.4452663041747575, Distance Reached: 0.57
Episode 192 Start: (0.0, -0.0)
Episode 192 Reward: 0.4378147873268075, Distance Reached: 0.82
Episode 193 Start: (0.0, -0.0)
Episode 193 Reward: -1.6542402636149967, Distance Reached: 0.39
Episode 194 Start: (0.0, -0.0)
Episode 194 Reward: -2.1720638561700687, Distance Reached: 0.42
Episode 195 Start: (0.0, -0.0)
Episode 195 Reward: -1.9348849113234678, Distance Reached: 0.15
Episode 196 Start: (0.0, -0.0)
Episode 196 Reward: -2.747046648091901, Distance Reached: 0.28
Episode 197 Start: (0.0, -0.0)
Episode 197 Reward: -2.0603689282410014, Distance Reached: 0.67
Episode 198 Start: (0.0, -0.0)
Episode 198 Reward: -1.7613663381459599, Distance Reached: 0.28
Episode 199 Start: (0.0, -0.0)
Episode 199 Reward: -1.705478835132374, Distance Reached: 0.47
Episode 200 Start: (0.0, -0.0)
Episode 200 Reward: -1.9544160702753022, Distance Reached: 0.12
Episode 201 Start: (0.0, -0.0)
Episode 201 Reward: -1.8437294644471467, Distance Reached: 0.2
Episode 202 Start: (0.0, -0.0)
Episode 202 Reward: -1.0844693121247928, Distance Reached: 1.06
Episode 203 Start: (0.0, -0.0)
Episode 203 Reward: 1.046201026284109, Distance Reached: 1.12
Episode 204 Start: (0.0, -0.0)
Episode 204 Reward: -1.6854861068447233, Distance Reached: 1.13
Episode 205 Start: (0.0, -0.0)
Episode 205 Reward: -2.0837861518395075, Distance Reached: 0.22
Episode 206 Start: (0.0, -0.0)
Episode 206 Reward: -1.7267511618412368, Distance Reached: 1.2
Episode 207 Start: (0.0, -0.0)
Episode 207 Reward: -1.9209481344114596, Distance Reached: 0.1
Episode 208 Start: (0.0, -0.0)
Episode 208 Reward: -2.3710184839861643, Distance Reached: 0.81
Episode 209 Start: (0.0, -0.0)
Episode 209 Reward: -1.4036879088825471, Distance Reached: 0.66
Episode 210 Start: (0.0, -0.0)
Episode 210 Reward: -1.8836310482134793, Distance Reached: 0.52
Episode 211 Start: (0.0, -0.0)
Episode 211 Reward: -2.5091519474893933, Distance Reached: 0.37
Episode 212 Start: (0.0, -0.0)
Episode 212 Reward: -1.5601977589276772, Distance Reached: 0.59
Episode 213 Start: (0.0, -0.0)
Episode 213 Reward: -2.080329447837346, Distance Reached: 0.52
Episode 214 Start: (0.0, -0.0)
Episode 214 Reward: -2.158716926981847, Distance Reached: 0.16
Episode 215 Start: (0.0, -0.0)
Episode 215 Reward: -1.4437731533296974, Distance Reached: 0.77
Episode 216 Start: (0.0, -0.0)
Episode 216 Reward: -2.5123140261069663, Distance Reached: 0.77
Episode 217 Start: (0.0, -0.0)
Episode 217 Reward: -1.100757942762908, Distance Reached: 1.23
Episode 218 Start: (0.0, -0.0)
Episode 218 Reward: -1.6349448262614876, Distance Reached: 0.83
Episode 219 Start: (0.0, -0.0)
Episode 219 Reward: -2.321150154412625, Distance Reached: 0.45
Episode 220 Start: (0.0, -0.0)
Episode 220 Reward: -1.7769378998647047, Distance Reached: 1.07
Episode 221 Start: (0.0, -0.0)
Episode 221 Reward: -1.181427671884626, Distance Reached: 1.22
Episode 222 Start: (0.0, -0.0)
Episode 222 Reward: -1.1550919711554475, Distance Reached: 1.21
Episode 223 Start: (0.0, -0.0)
Episode 223 Reward: 0.9637251043370263, Distance Reached: 1.54
Episode 224 Start: (0.0, -0.0)
Episode 224 Reward: -1.6636936638355257, Distance Reached: 0.65
Episode 225 Start: (0.0, -0.0)
Episode 225 Reward: -1.2498431469647038, Distance Reached: 0.83
Episode 226 Start: (0.0, -0.0)
Episode 226 Reward: 0.4886473042825251, Distance Reached: 1.68
Episode 227 Start: (0.0, -0.0)
Episode 227 Reward: -1.7039787283631522, Distance Reached: 0.41
Episode 228 Start: (0.0, -0.0)
Episode 228 Reward: -1.8145209736328693, Distance Reached: 0.22
Episode 229 Start: (0.0, -0.0)
Episode 229 Reward: -2.7598296028063105, Distance Reached: 0.1
Episode 230 Start: (0.0, -0.0)
Episode 230 Reward: -1.6749270727262542, Distance Reached: 0.59
Episode 231 Start: (0.0, -0.0)
Episode 231 Reward: -2.0579429536067924, Distance Reached: 0.72
Episode 232 Start: (0.0, -0.0)
Episode 232 Reward: -2.672938209240744, Distance Reached: 0.6
Episode 233 Start: (0.0, -0.0)
Episode 233 Reward: -1.5375391410631614, Distance Reached: 0.53
Episode 234 Start: (0.0, -0.0)
Episode 234 Reward: 0.708685532456101, Distance Reached: 1.57
Episode 235 Start: (0.0, -0.0)
Episode 235 Reward: 0.2964148825168504, Distance Reached: 1.65
Episode 236 Start: (0.0, -0.0)
Episode 236 Reward: -1.1895338654051066, Distance Reached: 1.03
Episode 237 Start: (0.0, -0.0)
Episode 237 Reward: -2.266236087491437, Distance Reached: 0.56
Episode 238 Start: (0.0, -0.0)
Episode 238 Reward: -1.9845291637455342, Distance Reached: 0.05
Episode 239 Start: (0.0, -0.0)
Episode 239 Reward: -1.192023362277069, Distance Reached: 0.96
Episode 240 Start: (0.0, -0.0)
Episode 240 Reward: -1.171650170990507, Distance Reached: 0.91
Episode 241 Start: (0.0, -0.0)
Episode 241 Reward: -1.5396230832644737, Distance Reached: 0.54
Episode 242 Start: (0.0, -0.0)
Episode 242 Reward: 1.4930306491309193, Distance Reached: 1.65
Episode 243 Start: (0.0, -0.0)
Episode 243 Reward: -1.970780617644567, Distance Reached: 0.47
Episode 244 Start: (0.0, -0.0)
Episode 244 Reward: -1.9730749341052243, Distance Reached: 0.33
Episode 245 Start: (0.0, -0.0)
Episode 245 Reward: -1.5452599224512837, Distance Reached: 0.47
Episode 246 Start: (0.0, -0.0)
Episode 246 Reward: -1.3682116201356718, Distance Reached: 0.98
Episode 247 Start: (0.0, -0.0)
Episode 247 Reward: -1.3803440758434136, Distance Reached: 0.8
Episode 248 Start: (0.0, -0.0)
Episode 248 Reward: -1.4146724445906678, Distance Reached: 0.59
Episode 249 Start: (0.0, -0.0)
Episode 249 Reward: -1.3236287501037458, Distance Reached: 0.74
Episode 250 Start: (0.0, -0.0)
Episode 250 Reward: -2.235441063933882, Distance Reached: 0.62
Episode 251 Start: (0.0, -0.0)
Episode 251 Reward: -1.5392406349598895, Distance Reached: 0.54
Episode 252 Start: (0.0, -0.0)
Episode 252 Reward: -2.7914038107101242, Distance Reached: 0.37
Episode 253 Start: (0.0, -0.0)
Episode 253 Reward: -1.6679218004614293, Distance Reached: 0.84
Episode 254 Start: (0.0, -0.0)
Episode 254 Reward: -1.3916703543910236, Distance Reached: 1.1
Episode 255 Start: (0.0, -0.0)
Episode 255 Reward: -2.610846445454577, Distance Reached: 0.11
Episode 256 Start: (0.0, -0.0)
Episode 256 Reward: -2.3573853313537434, Distance Reached: 0.1
Episode 257 Start: (0.0, -0.0)
Episode 257 Reward: 1.1920900039986508, Distance Reached: 1.43
Episode 258 Start: (0.0, -0.0)
Episode 258 Reward: -2.2129850618534066, Distance Reached: 0.09
Episode 259 Start: (0.0, -0.0)
Episode 259 Reward: -1.5405553729528814, Distance Reached: 0.62
Episode 260 Start: (0.0, -0.0)
Episode 260 Reward: -1.634751381661629, Distance Reached: 0.45
Episode 261 Start: (0.0, -0.0)
Episode 261 Reward: -1.4790894940935106, Distance Reached: 0.56
Episode 262 Start: (0.0, -0.0)
Episode 262 Reward: -1.0033321970961122, Distance Reached: 1.33
Episode 263 Start: (0.0, -0.0)
Episode 263 Reward: -2.620131100168036, Distance Reached: 0.33
Episode 264 Start: (0.0, -0.0)
Episode 264 Reward: 0.2362827671894245, Distance Reached: 1.58
Episode 265 Start: (0.0, -0.0)
Episode 265 Reward: -2.458896119124971, Distance Reached: 0.37
Episode 266 Start: (0.0, -0.0)
Episode 266 Reward: -1.2447870658046813, Distance Reached: 1.06
Episode 267 Start: (0.0, -0.0)
Episode 267 Reward: -2.0511944717766615, Distance Reached: 0.63
Episode 268 Start: (0.0, -0.0)
Episode 268 Reward: -2.154885292913424, Distance Reached: 0.46
Episode 269 Start: (0.0, -0.0)
Episode 269 Reward: -1.68632123707804, Distance Reached: 0.8
Episode 270 Start: (0.0, -0.0)
Episode 270 Reward: -2.322758588557014, Distance Reached: 0.46
Episode 271 Start: (0.0, -0.0)
Episode 271 Reward: -1.918883568386652, Distance Reached: 0.12
